Id,SalePrice
2658,139124.25555282214
2718,158894.96068070372
2414,223088.29874407605
1989,111489.89165296752
625,180215.28383522166
333,80029.32355268262
1327,105497.97010565964
858,150613.3803577141
95,168036.811503994
1568,170023.52224696343
2482,143446.4676759966
1364,121709.46316089184
2584,161017.0412774593
818,256826.7657367465
2673,159007.22930718327
2089,99846.37393049304
1297,174415.3699199889
790,119814.43269871804
2616,197111.10113547446
720,182440.19699854977
222,155383.70940790055
557,124657.7650922607
1148,179161.2764187471
2766,179815.3269916928
534,184588.10815325216
1452,114499.68650510818
630,113074.05208531355
2648,114915.41861538679
125,156429.06498753408
1904,52046.26309773412
1670,98038.28286409752
756,99267.99689058265
717,234054.75637470884
1032,155662.01365155293
852,212397.7418155764
1731,184810.29210299125
2639,123832.27093447669
2071,72154.78421861945
1267,122805.01208766806
1851,199672.4526829344
567,172519.16512414807
2439,205496.15446934188
1898,153486.3915402302
647,165156.57753445144
2256,205883.67569083584
979,92463.79131341142
1444,215150.18555948112
2485,122769.6794814009
157,125161.90729632834
88,115511.4616925699
2003,107691.13393479405
186,206542.21434499952
1425,241560.84173710013
2695,130629.93882876223
738,101832.57569341961
395,155437.13586077388
1353,169227.24934276854
1878,142444.75592330517
390,144269.25387714434
1456,229946.80398633305
1103,328898.4794725089
1387,144974.09185603075
2070,153571.99519936228
1199,154961.91420816854
2479,179283.21713254938
501,329091.27853551274
2362,86705.58671741925
1718,227580.98525039924
2188,94580.29158455139
1483,142055.59129215247
2557,91468.30475490681
437,368229.35969555395
2224,224009.92041588336
1628,161840.01923453322
397,134253.66052572965
587,199658.6583540885
2182,614268.3708562453
971,154009.8569601525
2611,131171.558440112
1887,103050.72144690788
2399,370954.06444050395
2148,191591.87305941375
304,134720.77779051827
1997,131398.0557189617
2817,109468.14838905142
1431,217159.25705526653
427,346688.6118266564
263,120244.72785310607
598,179196.84137900022
2895,238556.90981956682
687,118211.6862306826
1822,135268.6365920923
2191,97052.89978077928
179,121250.92837971912
1009,234069.18158600328
2010,138930.96162434603
1991,139896.83580979542
1411,207741.24463192906
1721,232393.65755244502
1144,195726.57690841646
593,205896.06756465157
575,313189.1779682271
1249,167823.16736847733
1604,119490.0854378936
1064,511732.0897503565
1923,147620.5288718107
1988,116393.10643837412
2325,164414.14452800376
114,209036.44517835169
2700,180004.51526917936
217,123247.67386880549
343,186777.94601211953
386,217526.62518583913
2005,113141.00281773567
2908,144997.6160061495
1814,242137.20864670398
2446,493031.1211296584
208,123620.36351525175
1679,109756.30437932626
822,316070.65691887634
6,184930.6232850638
1781,390691.0550429687
2397,330470.5331323346
2340,321393.02016511024
1618,163438.28517435622
2843,131924.06367341988
1061,369665.36449105735
2786,116216.68285328682
1935,135382.22891468523
1341,111700.68792799427
521,267106.4714998316
2136,128938.46643715477
996,200877.82680884388
227,135169.10579155816
135,177704.69110724368
1167,163932.55888665805
294,233156.36151034603
1776,205266.4555043546
540,158297.6386923222
1717,239263.37825519335
2303,126586.8082244856
116,181680.49941756038
127,146148.5443465066
1371,135494.70240508905
1014,166876.2501374508
1507,122117.01166001591
702,115947.7287284875
750,155417.47630788616
261,136898.00844618856
1559,55496.39663307287
577,244555.68802640418
2812,191802.46489107492
2080,162224.00452215178
1368,108364.95429881157
2376,117293.95360096538
659,115349.25287912959
1235,131468.60173510315
332,68724.13613274343
1917,136768.42105777352
2094,242078.69395368063
1460,260703.8584165849
1471,223072.15456551156
1509,121827.2428906458
1922,128940.14663467254
433,480821.52616797993
460,256474.79602727742
1116,241259.26047145473
1137,154277.57885506735
53,162443.85971183964
2354,280877.1880283973
1475,197163.76378710518
1761,496597.42859216384
842,130530.75558996202
2739,186749.95338616002
2509,145490.19332221255
1007,198254.79879942336
2610,186824.6826972554
1952,78015.20272531905
2719,159585.9121869955
2921,77635.24476206064
1966,157350.77020181445
292,123294.63954499229
1204,181932.02615717304
1829,267787.02316374297
2419,196527.6385588686
391,140324.30966842754
798,114615.2695324217
481,199387.03108603985
193,209905.49140656373
555,118885.02326575361
899,58762.64427351701
2357,176828.01086156612
328,133071.47142343502
1356,109673.07179521259
1154,94320.50015247337
1730,187969.70646000543
2249,162838.72920278617
1119,298946.90104141337
2856,154223.7433662024
1394,127629.03209928487
2587,100859.69019372409
61,313000.6137278903
2661,174535.6935074542
2711,124689.52953884735
1147,175813.07051537282
757,111378.37641627922
2623,111181.34781872985
2378,136531.9353831878
1413,139606.95350935258
1722,216036.19506110717
1112,237338.5480130946
1623,192107.97824179515
1201,192923.94602206143
1513,121992.25055917012
957,499131.9058649214
1171,245023.43625565848
1145,194474.4687595369
2726,224598.2351500996
703,143793.8375225319
760,117757.34524208623
1964,156377.43831127236
2512,170569.5007519783
159,129947.8211420167
1281,167497.59261433766
468,189766.28784257785
290,125243.75102571677
665,103467.08775570277
1463,248791.59665087928
1792,221173.31650438783
923,173162.73914398733
500,293055.6040383002
1408,189809.00511028332
331,82059.47092790947
170,141558.9399111274
2192,92220.20035723719
2571,285700.9771472794
2314,165723.9506368718
2647,95483.47540914932
422,435800.4189885665
2457,358900.1647524785
1838,187025.68727563278
2805,254052.35286949412
1645,140664.65027509397
1711,309249.83264729544
2825,249362.12447130348
322,323290.0673421888
2103,266065.88368543115
342,120864.46903789128
600,114313.84462543501
488,162961.88495766433
1725,296943.71872643754
